,Título: ,Lugares: ,Noticia: 
0,Ofrece SEP publicar planes de estudio antes de cursos,Nacional,"Al momento de la conferencia de esta tarde, no había impedimento legal para repartir los libros de texto"
1,Presentan la edición 12 del Maratón Internacional de Juárez,Deportes,Este año se tiene una bolsa a repartir en premios cercana a los dos millones de pesos
2,Los vinculan a proceso por presuntamente secuestrar a 6 colombianos,Juárez,Entre las víctimas dos menores de 9 y 15 años
3,NY ayuda federal para pagar gastos de albergar migrantes,El Paso,"¡Es ahora o nunca! ¡Participa por los 17,5 mil millones de pesos del Mega Millions antes de que caiga!"
4,"AMLO no sabe qué es violencia política de género, dice Xóchitl",Juárez,Será hasta el próximo lunes 14 de agosto cuando comience a funcionar formalmente
5,Celebran misa en celebración de San Lorenzo,El Paso,'Es importante que las féminas comprendan que no están solas'
6,"Pasan Xóchitl, Creel, Paredes y De La Madrid a segunda etapa",Nacional,"De 32 expedientes con observaciones, solo en 10 han aplicado algún castigo: auditor"
7,"Usó los mismos tenis en dos, o más ejecuciones",Estado,Arreglar la infraestructura carretera permitiría evitar en dos décadas alrededor de 5 mil 600 muertes y más de un millón 230 mil personas lesionadas por accidentes viales
8,Turnan a ministro Aguilar controversia por libros de texto en Chihuahua,Juárez,En el caso de los autos seminuevos ha afectado su precio hasta en un 30%
9,Rodará casa de enlace de diputado por colonias,Escaparate,'Las acciones de hoy son una parte crucial del enfoque fortalecido del Gobierno de EU para salvar vidas interrumpiendo el tráfico ilícito de fentanilo '
10,Trump dice que no firmará compromiso de lealtad republicano,Economía,Los nuevos límites intensifican un conflicto entre las dos economías más grandes del mundo
11,Aprovecharon más de 10 mil personas descuentos del Predial en julio,Juárez,Tienen al menos dos años sin haber sido actualizados
12,Perdió el control de auto en paso elevado y murió,Estado,"Al cierre de julio, la tasa de inflación se ubicó en 4.79 por ciento anual, con lo que desaceleró por sexto mes en fila hasta su nivel más bajo desde marzo de 2001"
13,Abordarán en Palacio de Gobierno desaparición de poderes en NCG,Nacional,Es la quinta fémina asesinada este mes y el homicidio dolosos número 32 en lo que va de agosto
